type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
TV Show,Eli’s Places,,,2021-09-01,2021,1 Season,Sports,1
Movie,Free Willy,,,2021-09-01,1993,111 min,"Drama, Family, Kids",3
Movie,Free Willy 2: The Adventure Home,,,2021-09-01,1995,98 min,"Drama, Family, Kids",3
Movie,Free Willy 3: The Rescue,,,2021-09-01,1997,86 min,"Action, Adventure, Family",3
Movie,Free Willy: Escape From Pirate's Cove,,,2021-09-01,2010,101 min,"Adventure, Kids",2
Movie,"Friday The 13th, Part III",,,2021-09-01,1982,95 min,"Horror, Thriller",2
Movie,Friday the 13th: The Final Chapter,,,2021-09-01,1984,91 min,"Action, Adventure, Horror",3
Movie,Gattaca,,,2021-09-01,1997,106 min,"Drama, Science Fiction, Thriller",3
Movie,Girls! Girls! Girls!,,,2021-09-01,1962,99 min,"Comedy, Music",2
Movie,Hoosiers,,,2021-09-01,1986,115 min,"Drama, Sports",2
Movie,I Spit on Your Grave,,,2021-09-01,2010,106 min,Horror,1
Movie,I Spit On Your Grave 2,,,2021-09-01,2013,106 min,Horror,1
Movie,I Spit on Your Grave 3,,,2021-09-01,2015,92 min,Horror,1
Movie,Internal Affairs,,,2021-09-01,1990,115 min,"Action, Adventure, Crime",3
Movie,Kiss The Girls,,,2021-09-01,1997,116 min,"Black Stories, Crime, Drama",3
Movie,McLintock! (Producer's Cut),,,2021-09-01,1963,127 min,"Action, Adventure, Comedy",3
Movie,Miss You Already,,,2021-09-01,2015,113 min,"Drama, Romance",2
Movie,Mommy,,,2021-09-01,2014,139 min,"Drama, International",2
Movie,Much Ado About Nothing,,,2021-09-01,2013,109 min,"Comedy, Drama, Romance",3
Movie,New Year's Eve,,,2021-09-01,2011,118 min,"Comedy, Drama, Romance",3
Movie,Phase IV,,,2021-09-01,1974,83 min,"Horror, Science Fiction, Thriller",3
Movie,Priest,,,2021-09-01,2011,87 min,"Action, Adventure, Horror",3
Movie,PRO14 Rugby,,,2021-09-01,2017,,Sports,1
Movie,Road to Perdition,,,2021-09-01,2002,117 min,"Crime, Drama",2
Movie,Shaun the Sheep Movie,,,2021-09-01,2015,79 min,"Adventure, Comedy, Family",3
Movie,Slumdog Millionaire,,,2021-09-01,2008,121 min,"Drama, International, Romance",3
Movie,Solace,,,2021-09-01,2015,102 min,"Drama, Horror, Mystery",3
Movie,Stephen King's It,,,2021-09-01,1990,192 min,"Drama, Horror, Mystery",3
Movie,Sucker Punch,,,2021-09-01,2011,110 min,"Action, Adventure, Science Fiction",3
Movie,Tears of the Sun,,,2021-09-01,2003,121 min,"Action, Drama, Thriller",3
TV Show,That One Word: Feyenoord,,,2021-09-01,2021,1 Season,Sports,1
Movie,The Apparition,,,2021-09-01,2012,83 min,Horror,1
Movie,The Glass House,,,2021-09-01,2001,106 min,"Drama, Horror, Thriller",3
Movie,The Interview,,,2021-09-01,2014,113 min,Comedy,1
Movie,The Last Castle,,,2021-09-01,2001,131 min,"Action, Adventure, Drama",3
Movie,The Manchurian Candidate,,,2021-09-01,2004,130 min,"Drama, Mystery, Science Fiction",3
Movie,The Mexican,,,2021-09-01,2001,123 min,"Action, Adventure, Comedy",3
Movie,The Possession,,,2021-09-01,2012,92 min,"Horror, Thriller",2
Movie,The Tenant,,,2021-09-01,1976,125 min,"Drama, Horror",2
Movie,The Wedding Plan,,,2021-09-01,2016,110 min,"Comedy, Drama, Romance",3
Movie,The X-Files: Fight the Future,,,2021-09-01,1998,122 min,"Horror, Science Fiction, Thriller",3
Movie,Vantage Point,,,2021-09-01,2008,90 min,"Action, Adventure, Drama",3
Movie,Volcano,,,2021-09-01,1997,104 min,"Action, Adventure, Drama",3
Movie,"Final Hours, America’s Longest War",,,2021-08-31,2021,,Documentaries,1
TV Show,Only Murders in the Building,,,2021-08-31,2021,1 Season,"Comedy, Mystery",2
TV Show,9/11: One Day in America,,,2021-08-30,2021,1 Season,"Documentaries, News",2
TV Show,Are you the one? El match perfecto,,,2021-08-30,2016,1 Season,"Latino, Reality",2
TV Show,Catfish Colombia,,,2021-08-30,2014,2 Seasons,Reality,1
TV Show,Drunk History Argentina,,,2021-08-30,2018,1 Season,"Comedy, Latino",2
Movie,Spell,,,2021-08-30,2020,91 min,"Horror, Thriller",2
